year,team,team_name,division,G,W,L,ties,win_pct,p_win_pct,finish,gb,playoffs,R,RA,attendance,bat_age,pitch_age,num_bat,num_pitch,top_player,managers
2006,ANA,Los Angeles Angels of Anaheim,AL West,162,89,73,0,.549,.521,2nd of 4,4.0,,766,732,"3,406,790",28.8,27.9,40,18,J.Weaver (4.7),M.Scioscia (89-73)
2005,ANA,Los Angeles Angels of Anaheim,AL West,162,95,67,0,.586,.576,1st of 4,--,Lost ALCS (4-1),761,643,"3,404,686",29.7,28.5,40,18,V.Guerrero (5.7),M.Scioscia (95-67)
2004,ANA,Anaheim Angels,AL West,162,92,70,0,.568,.559,1st of 4,--,Lost LDS (3-0),836,734,"3,375,677",28.9,29.0,38,16,V.Guerrero (5.6),M.Scioscia (92-70)
2003,ANA,Anaheim Angels,AL West,162,77,85,0,.475,.496,3rd of 4,19.0,,736,743,"3,061,094",29.1,29.0,43,19,G.Anderson (4.0),M.Scioscia (77-85)
2002,ANA,Anaheim Angels,AL West,162,99,63,0,.611,.625,2nd of 4,4.0,Won WS (4-3),851,644,"2,305,547",28.5,30.2,40,18,D.Erstad (6.4),M.Scioscia (99-63)
2001,ANA,Anaheim Angels,AL West,162,75,87,0,.463,.475,3rd of 4,41.0,,691,730,"2,000,919",28.0,28.9,38,18,T.Glaus (5.2),M.Scioscia (75-87)
2000,ANA,Anaheim Angels,AL West,162,82,80,0,.506,.497,3rd of 4,9.5,,864,869,"2,066,982",27.7,28.9,45,25,D.Erstad (8.3),M.Scioscia (82-80)
1999,ANA,Anaheim Angels,AL West,162,70,92,0,.432,.432,4th of 4,25.0,,711,826,"2,253,123",28.8,31.5,45,20,R.Velarde (4.2),T.Collins (51-82) and J.Maddon (19-10)
1998,ANA,Anaheim Angels,AL West,162,85,77,0,.525,.502,2nd of 4,3.0,,787,783,"2,519,280",28.7,29.8,45,19,C.Finley (7.2),T.Collins (85-77)
1997,ANA,Anaheim Angels,AL West,162,84,78,0,.519,.520,2nd of 4,6.0,,829,794,"1,767,330",29.7,28.3,43,21,T.Salmon (4.9),T.Collins (84-78)
1996,ANA,California Angels,AL West,161,70,91,0,.435,.404,4th of 4,19.5,,762,943,"1,820,521",29.3,29.1,52,29,J.Edmonds (5.0),"M.Lachemann (52-59), J.McNamara (10-18) and J.Maddon (8-14)"
1995,ANA,California Angels,AL West,145,78,67,0,.538,.563,2nd of 4,1.0,,801,697,"1,748,680",29.0,30.7,45,20,T.Salmon (6.6),M.Lachemann (78-67)
1994,ANA,California Angels,AL West,115,47,68,0,.409,.412,4th of 4,5.5,,543,660,"1,512,622",27.8,28.9,37,18,C.Finley (3.5),B.Rodgers (16-24) and M.Lachemann (31-44)
1993,ANA,California Angels,AL West,162,71,91,0,.438,.446,5th of 7,23.0,,684,770,"2,057,460",27.3,28.8,46,24,M.Langston (8.6),B.Rodgers (71-91)
1992,ANA,California Angels,AL West,162,72,90,0,.444,.433,5th of 7,24.0,,579,671,"2,065,444",28.1,28.8,41,16,J.Abbott (5.8),B.Rodgers (33-40) and J.Wathan (39-50)
1991,ANA,California Angels,AL West,162,81,81,0,.500,.503,7th of 7,14.0,,653,649,"2,416,236",30.8,27.9,42,17,J.Abbott (7.6),D.Rader (61-63) and B.Rodgers (20-18)
1990,ANA,California Angels,AL West,162,80,82,0,.494,.490,4th of 7,23.0,,690,706,"2,555,688",29.8,28.1,43,20,C.Finley (7.7),D.Rader (80-82)
2016,ARI,Arizona Diamondbacks,NL West,162,69,93,0,.426,.424,4th of 5,22.0,,752,890,"2,036,216",26.7,26.4,50,29,J.Segura (5.5),C.Hale (69-93)
2015,ARI,Arizona Diamondbacks,NL West,162,79,83,0,.488,.504,3rd of 5,13.0,,720,713,"2,080,145",26.6,27.1,50,27,P.Goldschmidt (8.7),C.Hale (79-83)
2014,ARI,Arizona Diamondbacks,NL West,162,64,98,0,.395,.415,5th of 5,30.0,,615,742,"2,073,730",27.6,28.0,52,25,P.Goldschmidt (4.5),K.Gibson (63-96) and A.Trammell (1-2)
2013,ARI,Arizona Diamondbacks,NL West,162,81,81,0,.500,.493,2nd of 5,11.0,,685,695,"2,134,895",28.1,27.6,44,23,P.Goldschmidt (7.1),K.Gibson (81-81)
2012,ARI,Arizona Diamondbacks,NL West,162,81,81,0,.500,.530,3rd of 5,13.0,,734,688,"2,177,617",28.3,27.4,48,23,A.Hill (5.0),K.Gibson (81-81)
2011,ARI,Arizona Diamondbacks,NL West,162,94,68,0,.580,.545,1st of 5,--,Lost LDS (3-2),731,662,"2,105,432",28.2,27.4,51,25,J.Upton (6.1),K.Gibson (94-68)
2010,ARI,Arizona Diamondbacks,NL West,162,65,97,0,.401,.428,5th of 5,27.0,,713,836,"2,056,697",26.8,27.9,48,28,C.Young (5.4),A.Hinch (31-48) and K.Gibson (34-49)
2009,ARI,Arizona Diamondbacks,NL West,162,70,92,0,.432,.462,5th of 5,25.0,,720,782,"2,128,765",26.5,27.7,45,24,D.Haren (7.1),B.Melvin (12-17) and A.Hinch (58-75)
2008,ARI,Arizona Diamondbacks,NL West,162,82,80,0,.506,.509,2nd of 5,2.0,,720,706,"2,509,924",26.7,29.4,41,20,D.Haren (6.5),B.Melvin (82-80)
2007,ARI,Arizona Diamondbacks,NL West,162,90,72,0,.556,.487,1st of 5,--,Lost NLCS (4-0),712,732,"2,325,249",26.6,28.2,47,26,B.Webb (5.9),B.Melvin (90-72)
2006,ARI,Arizona Diamondbacks,NL West,162,76,86,0,.469,.491,4th of 5,12.0,,773,788,"2,091,685",29.6,28.8,45,25,B.Webb (7.0),B.Melvin (76-86)
2005,ARI,Arizona Diamondbacks,NL West,162,77,85,0,.475,.406,2nd of 5,5.0,,696,856,"2,059,424",30.3,27.4,43,25,C.Counsell (5.5),B.Melvin (77-85)
2004,ARI,Arizona Diamondbacks,NL West,162,51,111,0,.315,.333,5th of 5,42.0,,615,899,"2,519,560",28.9,29.3,52,25,R.Johnson (8.2),B.Brenly (29-50) and A.Pedrique (22-61)
2003,ARI,Arizona Diamondbacks,NL West,162,84,78,0,.519,.521,3rd of 5,16.5,,717,685,"2,805,542",30.6,29.2,43,22,B.Webb (5.9),B.Brenly (84-78)
2002,ARI,Arizona Diamondbacks,NL West,162,98,64,0,.605,.588,1st of 5,--,Lost LDS (3-0),819,674,"3,198,977",31.7,31.7,42,20,R.Johnson (10.5),B.Brenly (98-64)
2001,ARI,Arizona Diamondbacks,NL West,162,92,70,0,.568,.586,1st of 5,--,Won WS (4-3),818,677,"2,736,451",31.9,30.9,47,22,R.Johnson (9.4),B.Brenly (92-70)
2000,ARI,Arizona Diamondbacks,NL West,162,85,77,0,.525,.522,3rd of 5,12.0,,792,754,"2,942,251",30.8,31.6,41,17,R.Johnson (8.1),B.Showalter (85-77)
1999,ARI,Arizona Diamondbacks,NL West,162,100,62,0,.617,.632,1st of 5,--,Lost LDS (3-1),908,676,"3,019,654",30.0,30.6,43,20,R.Johnson (8.6),B.Showalter (100-62)
1998,ARI,Arizona Diamondbacks,NL West,162,65,97,0,.401,.410,5th of 5,33.0,,665,812,"3,610,290",27.8,27.4,46,25,O.Daal (4.1),B.Showalter (65-97)
2016,ATL,Atlanta Braves,NL East,161,68,93,0,.422,.417,5th of 5,26.5,,649,779,"2,020,914",28.9,26.4,60,35,F.Freeman (6.4),F.Gonzalez (9-28) and B.Snitker (59-65)
2015,ATL,Atlanta Braves,NL East,162,67,95,0,.414,.374,4th of 5,23.0,,573,760,"2,001,392",28.8,26.6,60,37,A.Simmons (3.9),F.Gonzalez (67-95)
2014,ATL,Atlanta Braves,NL East,162,79,83,0,.488,.481,2nd of 5,17.0,,573,597,"2,354,305",26.8,27.3,39,20,J.Heyward (6.4),F.Gonzalez (79-83)
2013,ATL,Atlanta Braves,NL East,162,96,66,0,.593,.603,1st of 5,--,Lost LDS (3-1),688,548,"2,548,679",26.8,27.2,44,21,A.Simmons (7.0),F.Gonzalez (96-66)
2012,ATL,Atlanta Braves,NL East,162,94,68,0,.580,.570,2nd of 5,4.0,Lost NLWC (1-0),700,600,"2,420,171",28.5,27.6,41,21,M.Bourn (6.1),F.Gonzalez (94-68)
2011,ATL,Atlanta Braves,NL East,162,89,73,0,.549,.526,2nd of 5,13.0,,641,605,"2,372,940",28.9,28.4,45,21,E.O'Flaherty (3.4),F.Gonzalez (89-73)
2010,ATL,Atlanta Braves,NL East,162,91,71,0,.562,.573,2nd of 5,6.0,Lost LDS (3-1),738,629,"2,510,119",28.6,30.1,43,21,J.Heyward (6.4),B.Cox (91-71)
2009,ATL,Atlanta Braves,NL East,162,86,76,0,.531,.562,3rd of 5,7.0,,735,641,"2,373,631",28.8,28.9,45,21,J.Jurrjens (6.8),B.Cox (86-76)
2008,ATL,Atlanta Braves,NL East,162,72,90,0,.444,.485,4th of 5,20.0,,753,778,"2,532,834",27.2,28.6,49,28,C.Jones (7.3),B.Cox (72-90)
2007,ATL,Atlanta Braves,NL East,162,84,78,0,.519,.546,3rd of 5,5.0,,810,733,"2,745,207",27.7,29.4,50,28,C.Jones (7.6),B.Cox (84-78)
2006,ATL,Atlanta Braves,NL East,162,79,83,0,.488,.524,3rd of 5,18.0,,849,805,"2,550,524",27.5,29.4,45,26,J.Smoltz (5.9),B.Cox (79-83)
2005,ATL,Atlanta Braves,NL East,162,90,72,0,.556,.560,1st of 5,--,Lost LDS (3-1),769,674,"2,521,167",28.1,28.6,45,26,A.Jones (6.7),B.Cox (90-72)
2004,ATL,Atlanta Braves,NL East,162,96,66,0,.593,.583,1st of 5,--,Lost LDS (3-2),803,668,"2,327,565",28.9,30.1,39,21,J.Drew (8.3),B.Cox (96-66)
2003,ATL,Atlanta Braves,NL East,162,101,61,0,.623,.592,1st of 5,--,Lost LDS (3-2),907,740,"2,401,084",30.3,31.1,34,17,M.Giles (7.8),B.Cox (101-61)
2002,ATL,Atlanta Braves,NL East,161,101,59,1,.631,.602,1st of 5,--,Lost LDS (3-2),708,565,"2,603,484",30.6,31.1,38,20,A.Jones (6.6),B.Cox (101-59)
2001,ATL,Atlanta Braves,NL East,162,88,74,0,.543,.557,1st of 5,--,Lost NLCS (4-1),729,643,"2,823,530",30.3,31.1,47,23,C.Jones (5.9),B.Cox (88-74)
2000,ATL,Atlanta Braves,NL East,162,95,67,0,.586,.557,1st of 5,--,Lost LDS (3-0),810,714,"3,234,304",30.7,31.4,47,22,A.Jones (8.2),B.Cox (95-67)
1999,ATL,Atlanta Braves,NL East,162,103,59,0,.636,.608,1st of 5,--,Lost WS (4-0),840,661,"3,284,897",29.6,28.6,44,22,A.Jones (7.1),B.Cox (103-59)
1998,ATL,Atlanta Braves,NL East,162,106,56,0,.654,.656,1st of 5,--,Lost NLCS (4-2),826,581,"3,360,860",28.9,29.5,42,19,A.Jones (7.4),B.Cox (106-56)
1997,ATL,Atlanta Braves,NL East,162,101,61,0,.623,.638,1st of 5,--,Lost NLCS (4-2),791,581,"3,464,488",27.9,28.5,38,17,G.Maddux (7.7),B.Cox (101-61)
1996,ATL,Atlanta Braves,NL East,162,96,66,0,.593,.580,1st of 5,--,Lost WS (4-2),773,648,"2,901,242",27.9,27.9,42,18,J.Smoltz (7.7),B.Cox (96-66)
1995,ATL,Atlanta Braves,NL East,144,90,54,0,.625,.581,1st of 5,--,Won WS (4-2),645,540,"2,561,831",27.9,27.4,40,20,G.Maddux (9.6),B.Cox (90-54)
1994,ATL,Atlanta Braves,NL East,114,68,46,0,.596,.586,2nd of 5,6.0,,542,448,"2,539,240",28.2,27.4,31,13,G.Maddux (8.7),B.Cox (68-46)
1993,ATL,Atlanta Braves,NL West,162,104,58,0,.642,.641,1st of 7,--,Lost NLCS (4-2),767,559,"3,884,720",28.8,26.8,33,13,R.Gant (6.5),B.Cox (104-58)
1992,ATL,Atlanta Braves,NL West,162,98,64,0,.605,.582,1st of 6,--,Lost WS (4-2),682,569,"3,077,400",28.4,27.5,41,19,T.Pendleton (4.9),B.Cox (98-64)
1991,ATL,Atlanta Braves,NL West,162,94,68,0,.580,.569,1st of 6,--,Lost WS (4-3),749,644,"2,140,217",28.0,27.1,43,20,T.Glavine (9.3),B.Cox (94-68)
1990,ATL,Atlanta Braves,NL West,162,65,97,0,.401,.416,6th of 6,26.0,,682,821,"980,129",27.4,25.8,46,23,R.Gant (5.5),R.Nixon (25-40) and B.Cox (40-57)
2016,BAL,Baltimore Orioles,AL East,162,89,73,0,.549,.518,2nd of 5,4.0,Lost ALWC (1-0),744,715,"2,172,344",28.5,27.9,47,27,M.Machado (6.7),B.Showalter (89-73)
2015,BAL,Baltimore Orioles,AL East,162,81,81,0,.500,.513,3rd of 5,12.0,,713,693,"2,281,202",27.9,28.3,48,22,M.Machado (7.1),B.Showalter (81-81)
2014,BAL,Baltimore Orioles,AL East,162,96,66,0,.593,.578,1st of 5,--,Lost ALCS (4-0),705,593,"2,464,473",28.3,27.7,44,20,S.Pearce (5.8),B.Showalter (96-66)
2013,BAL,Baltimore Orioles,AL East,162,85,77,0,.525,.523,3rd of 5,12.0,,745,709,"2,357,561",27.8,27.9,52,26,M.Machado (6.7),B.Showalter (85-77)
2012,BAL,Baltimore Orioles,AL East,162,93,69,0,.574,.505,2nd of 5,2.0,Lost LDS (3-2),712,705,"2,102,240",28.0,27.6,52,26,A.Jones (3.8),B.Showalter (93-69)
2011,BAL,Baltimore Orioles,AL East,162,69,93,0,.426,.412,5th of 5,28.0,,708,860,"1,755,461",28.3,28.2,50,27,M.Wieters (4.9),B.Showalter (69-93)
2010,BAL,Baltimore Orioles,AL East,162,66,96,0,.407,.389,5th of 5,30.0,,613,785,"1,733,019",28.7,28.4,45,23,J.Guthrie (4.5),"D.Trembley (15-39), J.Samuel (17-34) and B.Showalter (34-23)"
2009,BAL,Baltimore Orioles,AL East,162,64,98,0,.395,.424,5th of 5,39.0,,741,876,"1,907,163",28.7,28.1,48,27,B.Bergesen (3.3),D.Trembley (64-98)
2008,BAL,Baltimore Orioles,AL East,161,68,93,0,.422,.452,5th of 5,28.5,,782,869,"1,950,075",30.0,27.9,46,26,N.Markakis (7.4),D.Trembley (68-93)
2007,BAL,Baltimore Orioles,AL East,162,69,93,0,.426,.437,4th of 5,27.0,,756,868,"2,164,822",30.4,29.0,49,27,E.Bedard (5.8),S.Perlozzo (29-40) and D.Trembley (40-53)
2006,BAL,Baltimore Orioles,AL East,162,70,92,0,.432,.428,4th of 5,27.0,,768,899,"2,153,139",30.3,27.9,46,24,M.Tejada (4.5),S.Perlozzo (70-92)
2005,BAL,Baltimore Orioles,AL East,162,74,88,0,.457,.458,4th of 5,21.0,,729,800,"2,624,740",31.3,28.3,46,20,B.Roberts (7.2),L.Mazzilli (51-56) and S.Perlozzo (23-32)
2004,BAL,Baltimore Orioles,AL East,162,78,84,0,.481,.507,3rd of 5,23.0,,842,830,"2,744,018",30.4,27.4,47,22,M.Tejada (7.3),L.Mazzilli (78-84)
2003,BAL,Baltimore Orioles,AL East,163,71,91,1,.438,.455,4th of 5,30.0,,743,820,"2,454,523",29.3,29.2,42,20,M.Mora (4.7),M.Hargrove (71-91)
2002,BAL,Baltimore Orioles,AL East,162,67,95,0,.414,.433,4th of 5,36.5,,667,773,"2,682,439",29.2,27.8,46,20,M.Mora (4.7),M.Hargrove (67-95)
2001,BAL,Baltimore Orioles,AL East,162,63,98,1,.391,.415,4th of 5,32.5,,687,829,"3,094,841",30.1,27.6,46,22,J.Conine (2.9),M.Hargrove (63-98)
2000,BAL,Baltimore Orioles,AL East,162,74,88,0,.457,.436,4th of 5,13.5,,794,913,"3,297,031",32.0,29.1,50,22,M.Mussina (5.6),M.Hargrove (74-88)
1999,BAL,Baltimore Orioles,AL East,162,78,84,0,.481,.520,4th of 5,20.0,,851,815,"3,433,150",32.5,30.1,43,21,B.Anderson (5.9),R.Miller (78-84)
1998,BAL,Baltimore Orioles,AL East,162,79,83,0,.488,.518,4th of 5,35.0,,817,785,"3,684,650",33.1,30.5,48,22,R.Palmeiro (6.2),R.Miller (79-83)
1997,BAL,Baltimore Orioles,AL East,162,98,64,0,.605,.580,1st of 5,--,Lost ALCS (4-2),812,681,"3,711,132",31.6,30.7,39,17,M.Mussina (5.6),D.Johnson (98-64)
1996,BAL,Baltimore Orioles,AL East,163,88,74,1,.543,.523,2nd of 5,4.0,Lost ALCS (4-1),949,903,"3,646,950",31.1,28.9,45,23,B.Anderson (6.9),D.Johnson (88-74)
1995,BAL,Baltimore Orioles,AL East,144,71,73,0,.493,.543,3rd of 5,15.0,,704,640,"3,098,475",30.1,29.3,46,23,M.Mussina (6.1),P.Regan (71-73)
1994,BAL,Baltimore Orioles,AL East,112,63,49,0,.563,.577,2nd of 5,6.5,,589,497,"2,535,359",30.2,29.1,32,15,M.Mussina (5.4),J.Oates (63-49)
1993,BAL,Baltimore Orioles,AL East,162,85,77,0,.525,.524,3rd of 7,10.0,,786,745,"3,644,965",29.4,28.4,41,18,C.Hoiles (6.8),J.Oates (85-77)
1992,BAL,Baltimore Orioles,AL East,162,89,73,0,.549,.533,3rd of 7,7.0,,705,656,"3,567,819",28.5,27.9,38,16,M.Mussina (8.3),J.Oates (89-73)
1991,BAL,Baltimore Orioles,AL East,162,67,95,0,.414,.432,6th of 7,24.0,,686,796,"2,552,753",28.3,27.4,42,20,C.Ripken (11.5),F.Robinson (13-24) and J.Oates (54-71)
1990,BAL,Baltimore Orioles,AL East,161,76,85,0,.472,.481,5th of 7,11.5,,669,698,"2,415,189",27.3,26.2,47,21,C.Ripken (7.5),F.Robinson (76-85)
2016,BOS,Boston Red Sox,AL East,162,93,69,0,.574,.606,1st of 5,--,Lost LDS (3-0),878,694,"2,955,434",28.6,29.0,50,25,M.Betts (9.4),J.Farrell (93-69)
2015,BOS,Boston Red Sox,AL East,162,78,84,0,.481,.497,5th of 5,15.0,,748,753,"2,880,694",28.4,28.6,51,26,M.Betts (5.8),J.Farrell (78-84)
2014,BOS,Boston Red Sox,AL East,162,71,91,0,.438,.445,5th of 5,25.0,,634,715,"2,956,089",29.3,29.9,55,25,D.Pedroia (4.7),J.Farrell (71-91)
2013,BOS,Boston Red Sox,AL East,162,97,65,0,.599,.618,1st of 5,--,Won WS (4-2),853,656,"2,833,333",29.7,30.2,48,26,D.Pedroia (6.3),J.Farrell (97-65)
2012,BOS,Boston Red Sox,AL East,162,69,93,0,.426,.457,5th of 5,26.0,,734,806,"3,043,003",29.4,28.7,56,26,D.Pedroia (5.1),B.Valentine (69-93)
2011,BOS,Boston Red Sox,AL East,162,90,72,0,.556,.578,3rd of 5,7.0,,875,737,"3,054,001",30.0,30.3,49,27,J.Ellsbury (8.1),T.Francona (90-72)
2010,BOS,Boston Red Sox,AL East,162,89,73,0,.549,.543,3rd of 5,7.0,,818,744,"3,046,445",30.8,29.6,53,25,A.Beltre (7.8),T.Francona (89-73)
2009,BOS,Boston Red Sox,AL East,162,95,67,0,.586,.577,2nd of 5,8.0,Lost LDS (3-0),872,736,"3,062,699",30.0,29.8,52,27,K.Youkilis (6.6),T.Francona (95-67)
2008,BOS,Boston Red Sox,AL East,162,95,67,0,.586,.589,2nd of 5,2.0,Lost ALCS (4-3),845,694,"3,048,250",29.8,29.2,47,23,D.Pedroia (6.9),T.Francona (95-67)
2007,BOS,Boston Red Sox,AL East,162,96,66,0,.593,.624,1st of 5,--,Won WS (4-0),867,657,"2,970,755",30.2,31.1,40,20,J.Beckett (6.5),T.Francona (96-66)
2006,BOS,Boston Red Sox,AL East,162,86,76,0,.531,.497,3rd of 5,11.0,,820,825,"2,930,588",30.5,31.1,53,28,D.Ortiz (5.7),T.Francona (86-76)
2005,BOS,Boston Red Sox,AL East,162,95,67,0,.586,.556,2nd of 5,--,Lost LDS (3-0),910,805,"2,847,888",31.5,33.6,52,26,D.Ortiz (5.3),T.Francona (95-67)
2004,BOS,Boston Red Sox,AL East,162,98,64,0,.605,.596,2nd of 5,3.0,Won WS (4-0),949,768,"2,837,294",30.6,32.5,50,26,C.Schilling (7.8),T.Francona (98-64)
2003,BOS,Boston Red Sox,AL East,162,95,67,0,.586,.578,2nd of 5,6.0,Lost ALCS (4-3),961,809,"2,724,165",29.8,31.2,47,26,P.Martinez (8.0),G.Little (95-67)
2002,BOS,Boston Red Sox,AL East,162,93,69,0,.574,.615,2nd of 5,10.5,,859,665,"2,650,862",30.0,31.1,39,18,D.Lowe (7.3),G.Little (93-69)
2001,BOS,Boston Red Sox,AL East,161,82,79,0,.509,.516,2nd of 5,13.5,,772,745,"2,625,333",30.0,30.9,48,23,M.Ramirez (5.2),J.Williams (65-53) and J.Kerrigan (17-26)
2000,BOS,Boston Red Sox,AL East,162,85,77,0,.525,.528,2nd of 5,2.5,,792,745,"2,585,895",29.4,30.2,52,24,P.Martinez (11.7),J.Williams (85-77)
1999,BOS,Boston Red Sox,AL East,162,94,68,0,.580,.569,2nd of 5,4.0,Lost ALCS (4-1),836,718,"2,446,162",28.9,30.1,48,25,P.Martinez (9.8),J.Williams (94-68)
1998,BOS,Boston Red Sox,AL East,162,92,70,0,.568,.583,2nd of 5,22.0,Lost LDS (3-1),876,729,"2,314,704",28.9,29.5,47,23,P.Martinez (7.2),J.Williams (92-70)
1997,BOS,Boston Red Sox,AL East,162,78,84,0,.481,.497,4th of 5,20.0,,851,857,"2,226,136",28.0,27.8,46,25,N.Garciaparra (6.6),J.Williams (78-84)
1996,BOS,Boston Red Sox,AL East,162,85,77,0,.525,.503,3rd of 5,7.0,,928,921,"2,315,231",28.4,28.7,55,23,R.Clemens (7.8),K.Kennedy (85-77)
1995,BOS,Boston Red Sox,AL East,144,86,58,0,.597,.557,1st of 5,--,Lost LDS (3-0),791,698,"2,164,410",28.6,29.1,53,26,J.Valentin (8.3),K.Kennedy (86-58)
1994,BOS,Boston Red Sox,AL East,115,54,61,0,.470,.446,4th of 5,17.0,,552,621,"1,775,818",29.9,30.2,45,23,R.Clemens (6.0),B.Hobson (54-61)
1993,BOS,Boston Red Sox,AL East,162,80,82,0,.494,.492,5th of 7,15.0,,686,698,"2,422,021",29.7,30.6,39,16,D.Darwin (5.7),B.Hobson (80-82)
1992,BOS,Boston Red Sox,AL East,162,73,89,0,.451,.450,7th of 7,23.0,,599,669,"2,468,574",28.9,31.5,38,16,R.Clemens (8.8),B.Hobson (73-89)
1991,BOS,Boston Red Sox,AL East,162,84,78,0,.519,.512,2nd of 7,7.0,,731,712,"2,562,435",29.1,30.8,39,19,R.Clemens (8.0),J.Morgan (84-78)
1990,BOS,Boston Red Sox,AL East,162,88,74,0,.543,.523,1st of 7,--,Lost ALCS (4-0),699,664,"2,528,986",29.1,30.6,43,20,R.Clemens (10.5),J.Morgan (88-74)
2016,CAL,Los Angeles Angels of Anaheim,AL West,162,74,88,0,.457,.494,4th of 5,21.0,,717,727,"3,016,142",28.5,28.4,53,30,M.Trout (10.4),M.Scioscia (74-88)
2015,CAL,Los Angeles Angels of Anaheim,AL West,162,85,77,0,.525,.490,3rd of 5,3.0,,661,675,"3,012,765",28.6,28.3,51,24,M.Trout (9.3),M.Scioscia (85-77)
2014,CAL,Los Angeles Angels of Anaheim,AL West,162,98,64,0,.605,.593,1st of 5,--,Lost LDS (3-0),773,630,"3,095,935",29.3,28.4,54,31,M.Trout (8.0),M.Scioscia (98-64)
2013,CAL,Los Angeles Angels of Anaheim,AL West,162,78,84,0,.481,.498,3rd of 5,18.0,,733,737,"3,019,505",27.8,29.1,49,26,M.Trout (9.3),M.Scioscia (78-84)
2012,CAL,Los Angeles Angels of Anaheim,AL West,162,89,73,0,.549,.542,3rd of 4,5.0,,767,699,"3,061,770",28.8,30.1,44,23,M.Trout (10.8),M.Scioscia (89-73)
2011,CAL,Los Angeles Angels of Anaheim,AL West,162,86,76,0,.531,.524,2nd of 4,10.0,,667,633,"3,166,321",28.9,28.4,43,21,J.Weaver (6.9),M.Scioscia (86-76)
2010,CAL,Los Angeles Angels of Anaheim,AL West,162,80,82,0,.494,.486,3rd of 4,10.0,,681,702,"3,250,814",29.6,28.3,46,21,J.Weaver (5.3),M.Scioscia (80-82)
2009,CAL,Los Angeles Angels of Anaheim,AL West,162,97,65,0,.599,.568,1st of 4,--,Lost ALCS (4-2),883,761,"3,240,386",29.6,28.6,46,25,C.Figgins (7.7),M.Scioscia (97-65)
2008,CAL,Los Angeles Angels of Anaheim,AL West,162,100,62,0,.617,.542,1st of 4,--,Lost LDS (3-1),765,697,"3,336,747",28.9,27.6,41,19,E.Santana (5.0),M.Scioscia (100-62)
2007,CAL,Los Angeles Angels of Anaheim,AL West,162,94,68,0,.580,.553,1st of 4,--,Lost LDS (3-0),822,731,"3,365,632",28.6,28.4,42,18,J.Lackey (6.2),M.Scioscia (94-68)
2006,CAL,Los Angeles Angels of Anaheim,AL West,162,89,73,0,.549,.521,2nd of 4,4.0,,766,732,"3,406,790",28.8,27.9,40,18,J.Weaver (4.7),M.Scioscia (89-73)
2005,CAL,Los Angeles Angels of Anaheim,AL West,162,95,67,0,.586,.576,1st of 4,--,Lost ALCS (4-1),761,643,"3,404,686",29.7,28.5,40,18,V.Guerrero (5.7),M.Scioscia (95-67)
2004,CAL,Anaheim Angels,AL West,162,92,70,0,.568,.559,1st of 4,--,Lost LDS (3-0),836,734,"3,375,677",28.9,29.0,38,16,V.Guerrero (5.6),M.Scioscia (92-70)
2003,CAL,Anaheim Angels,AL West,162,77,85,0,.475,.496,3rd of 4,19.0,,736,743,"3,061,094",29.1,29.0,43,19,G.Anderson (4.0),M.Scioscia (77-85)
