location,title,company,salary,summary
"New York, NY",Natural Language Processing (NLP) Data Scientist,    Averity,157500.0,We are open to Mid-Level to Senior-Level NLP Data Scientists for this role. These models will be implemented and used by other data scientists throughout other...
"New York, NY",Data Engineer,    Harnham,150000.0,Work closely with data scientists to help map data fields to hypotheses and prepare data for use in their highly advanced analytical models....
"New York, NY",Data Architect/ Data Engineer,"    Envisagenics, Inc.",87500.0,"He/she will collaborate with a team of software developers, data scientists and front-end designers to help tune databases for peak performance, ensure..."
"Manhattan, NY",Environmental Protection Project Manager,    DEPT OF PARKS & RECREATION,75643.0,"For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with..."
"New York, NY",Senior Data Scientist ( FinTech / Python / R / ML / Big Data...,    Venturi Ltd,160000.0,"Data Scientist, FinTech, Python, R, Machine Learning, Big Data Engineer, Hadoop, Cloudera, SQL, NoSQL, Hortonworks, Java, Data Science, Analyst, Analytics, PhD,..."
"Manhattan, NY",DATA ANALYST,        HRA/DEPT OF SOCIAL SERVICES,59984.5,
"New York, NY",Health Scientist,        Centers for Disease Control and Prevention,117437.5,"Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic..."
"New York, NY",Water Quality Analyst,    DEPT OF ENVIRONMENT PROTECTION,79249.5,"The ideal candidate is proficient in water quality statistical analysis including but not limited to spatiotemporal analyses, seasonal trends, multivariate..."
"New York, NY",Quantitative Analyst for Global Quant Fund,    Averity,225000.0,"Strong programming and quantitative abilities (MatLab, R, SAS knowledge a plus). Examine and analyze data to increase alpha and decrease risk...."
"New York, NY",Data Analyst,        POLICE DEPARTMENT,79249.5,"Extensive knowledge of applied statistics, analytics, machine learning, data science or big data tools. For Assignment Level I (only physical, biological and..."
"Manhattan, NY",Policy Data Analyst,        DEPARTMENT OF FINANCE,74119.5,"For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with..."
"Manhattan, NY",Research Analyst - Entertainment Industry,    EFRO Staffing,40000.0,
"New York, NY","Data Manager – Researcher, Bureau of Children, Youth & Famil...",        DEPT OF HEALTH/MENTAL HYGIENE,75557.5,"Design and conduct analyses of survey data to examine trends and patterns in mental, emotional and behavioral health conditions and disparities among children..."
"New York, NY",Hydrologist,        NYC Parks Dept,78000.0,"Hydrologist The mission of Forestry, Horticulture and Natural Resources (FHNR) is to protect, restore, expand and manage New York City’s natural spaces and..."
"New York, NY",EpicCare Ambulatory Analyst: Research-Registry TP136,    Edwards Place of Employment,112500.0,
"New York, NY","Senior Data Scientist for Multi-Billion, Top-Ranked Global C...",    Averity,110000.0,"Data Scientist in our Analytics team, you will be join a team of experienced data scientists responsible for providing advanced analytics to support strategic..."
"New York, NY 10020 (Midtown area)","Quantitative Business Analyst, AVP - NYC",        Huxley Associates,135000.0,"Bachelors / Masters degree in Financial Engineering, quant finance, Mathematics, Physics, Engineering, etc. within a top tier institution with excellent..."
"New York, NY 10017 (Midtown area)",Senior Data Scientist,        Analytic Recruiting,120000.0,"Data science, python, R, ""big data"", model, modeler, statistics, research. Senior Data Scientist needed by data science based media analytics and optimization..."
"New York, NY 10020 (Midtown area)",Front Desk Quantitative Analyst,        Huxley Associates,150000.0,"Strong programming skills in Matlab, R, Python, or C++. PhD or Master's degree in a quantitative field (Mathematics, Physics, Engineering, Op Research, etc.)...."
"New York, NY",Senior Data Scientist - Bio-tech,    Harnham,170000.0,"You will be expected to adopt a very hands-on approach working with large scale structured and unstructured clinical data, as well as mentoring other Data..."
"New York, NY 10020 (Midtown area)",Quantitative Analyst,        Huxley Associates,170000.0,
"East Hanover, NJ",Senior Statistical Programmer,    Whiz Finder Corporation,115000.0,At least 8 years work experience in a Statistical (SAS) programming role preferably supporting clinical trials or in the pharmaceutical industry (5 years for...
"New York, NY",Senior Data Scientist for Fortune 500 Company,    Averity,167500.0,"You will be programming in statistical languages, creating models and algorithms and utilizing statistical analysis and machine learning techniques to gather..."
"New York, NY",Senior Systematic Quantitative Analyst - Multi-billion Dolla...,    Averity,200000.0,"Knowledge and understanding of MatLab, R, Python or SQL. Work collectively in a team environment to interpret signal trends and qualitative data for continual..."
"Manhattan, NY","Data Analyst, World Trade Center Health Registry",        DEPT OF HEALTH/MENTAL HYGIENE,79249.5,"The Unit's multi-disciplinary scientists lead and participate in WTC disaster related research on a range of physical and mental health outcomes among children,..."
"New York, NY",Chief Data Scientist - Consulting,    Harnham,220000.0,Chief Data Scientist - Consulting. Chief Data Scientist | Data Science | Insurance | Management Consulting | Project Management | Statistical Modeling....
"New York, NY",Water Resources Analyst,    DEPT OF ENVIRONMENT PROTECTION,79249.5,"For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with..."
"Manhattan, NY",Compliance Team Leader,        DEPT. OF HOMELESS SERVICES,90981.0,"For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with..."
"New York, NY",Data Scientist - Financial Services,    Harnham,150000.0,Data Scientist - Financial Services. Data Scientist | Predictive Models | Machine Learning | Financial Services....
"New York, NY",Quantitative Analyst,        Execu | Search,175000.0,
"New York, NY",Senior Data Scientist,    Harnham,180000.0,
"Manhattan, NY",Senior Project Manager,        HRA/DEPT OF SOCIAL SERVICES,86565.0,"Research and utilize program data and administrative data to manage project. For Assignment Level I (only physical, biological and environmental sciences and..."
"New York, NY",City Research Scientist,    DEPT OF ENVIRONMENT PROTECTION,79249.5,"For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with..."
"New York, NY",Postdoctoral Fellow,        Icahn School of Medicine at Mount Sinai,55000.0,The applicant is expected to hold a relevant PhD and show excellence in independently conducting bioinformatics analyses of high dimensional data (such RNA...
"New York, NY","VP Data Scientist, Data Science Manager, Data Scientist",        Oliver James Associates,180000.0,
"New York, NY 10001 (Chelsea area)",Machine Learning Engineer (C++),    Intelletec LLC,300000.0,
"New York, NY",Vice President of Data Scientist - Leading Consulting,    Averity,175000.0,"Knowledge in advanced analytics methods, including statistical methods and machine learning algorithms. We provide data driven solutions for a wide range of..."
"Valley Stream, NY",Business Intelligence Engineer,    Broker Genius,60000.0,"Expected to frequently and effectively communicate with senior management as well as with technical colleagues (end-users, data engineers, data scientists)...."
"Manhattan, NY",Project Manager,        HRA/DEPT OF SOCIAL SERVICES,76643.0,Administrative data to manage project development and implementation within agency program areas. The Office of Data Reporting & Analysis is recruiting for two...
"Manhattan, NY",Environmental Compliance Specialist,        DEPARTMENT OF TRANSPORTATION,79249.5,
"Manhattan, NY",Director System Data Analysis (Op Planning),        Metropolitan Transportation Authority,91821.0,
"New York, NY",Data Scientist at Innovative Financial Services Company,    Averity,200000.0,
"New York, NY",Security Research Analyst-Virtual Nationwide,    ALC Staffing Associates,118000.0,Experience applying data science approaches to the malware analysis problem space. Machine level understanding of C/C++ constructs....
"Manhattan, NY",Environmental Permits Coordinator,    DEPT OF PARKS & RECREATION,65977.0,
"Chicago, IL 60603 (Loop area)",Machine Learning Engineer,        Jobspring Partners,150000.0,
"Chicago, IL 60601 (Loop area)",Statistical Analyst,        The LaSalle Network,80000.0,Leverage advanced analytics and statistical models to evaluate asset health and the effectiveness of programs....
"Chicago, IL",Data Scientist - Predictive Modeler - P&C/Health/Life-7644,    S.C. International,130000.0,"Seeking a self-starter with 3+ years of professional experience in statistical modeling, data science, machine learning, data or text mining, and data..."
"Chicago, IL 60603 (Loop area)","Junior Data Scientist (Python, Spark, SciKitLearn)",        Workbridge Associates,100000.0,A digital marketing firm located in River North is looking for a Junior-Level Data Scientist to join their growing analytics team....
"Chicago, IL",Quantitative Research Analyst,        Huxley Associates,150000.0,Realize your true potential by joining a successful team breaking new ground in technology and trading. We're looking for a highly creative Quantitative
"Chicago, IL",Lead Data Scientist,        Jobspring Partners,125000.0,
"Chicago, IL 60604 (Loop area)",Principal Data Lead (Machine Learning),        Jobspring Partners,180000.0,"This role is a mix of data engineering, data analytics, as well as deployment- so the ideal individual is someone that has done a mix of all of these who can..."
"Chicago, IL",Senior Data Engineer with Machine Learning,        Jobspring Partners,125000.0,We’re looking to bring on a Senior Data Engineer with strong Machine Learning experience to perform both the development and analytics on our core data products...
"Chicago, IL",Quantitative Risk Analyst,        Huxley Associates,100000.0,Strong technical skills in VBA and SQL. Are you an expert in Mathematics and looking for your second job out of school?...
"Chicago, IL 60610 (Near North Side area)",Principal Data Scientist,        Jobspring Partners,160000.0,This company's Chicago office is seeking a Principal Data Scientist to lead a team and develop machine learning algorithms and other procedures to figure out...
"Chicago, IL",Statistical Analyst -- Health-7444,    S.C. International,80000.0,"Seeking strong proficiency with SAS, SQL, and/or R. Extremely successful consulting practice has an immediate need for a Statistical Analyst...."
"Chicago, IL","Associate Director, Major Gifts - PSD",        University of Chicago,100000.0,The University of Chicago's Physical Sciences Division (PSD) has a history of producing world-altering research and scientists who push the boundaries of human...
"Chicago, IL",Postdoctoral Fellow in Stem Cell Biology and Pharmacogenomic...,        Northwestern University,47484.0,"The successful candidate will join a dynamic research environment in the Department of Pharmacology, which offers both basic science and clinical translational..."
"San Francisco, CA","Data Scientist, Customer Analytics",    All-In Analytics,150000.0,"Seeking a driven data scientist with strong BI and customer analytics experience to work with sales, marketing, and loyalty within the top analytics team at a..."
"Oakland, CA",Data Acquisition Programmer,    Ceres Imaging,120000.0,"We are a diverse team of scientists, engineers, agriculture veterans, and business leaders based throughout the San Francisco Bay Area and the Central Valley...."
"San Francisco, CA",Senior Data Scientist,        Workbridge Associates,155000.0,Statistical modeling and Machine Learning experience. A leading San Francisco consumer web and personalized shopping company is looking to add a Data Scientist...
"San Francisco, CA 94105 (Financial District area)",Data Scientist (Java or Python),        Workbridge Associates,200000.0,"This ground floor opportunity involves using machine learning techniques to analyze data collected from social media text, images, and video...."
"San Francisco, CA",Senior Data Scientist,    Harnham,180000.0,"Senior Data Scientist. YOUR ROLE AS SENIOR DATA SCIENTIST:. Build and deploy models focusing on Machine Learning. Experience with R, H2o, Shiny...."
"San Francisco, CA","Director of Data Science, Analytics",    Averity,212500.0,"As Director of Data Science, you will lead a team of experienced Data Scientists responsible for providing user behavior analytics and actionable..."
"San Francisco, CA",Digital Marketing (Data Scientist),"    Kennedy Unlimited Inc, Professional Staffing",115000.0,"Use your current research and analysis skills to apply various statistical and machine learning techniques, to develop predictive models, experimental designs,..."
"San Mateo, CA",Associate Data Scientist,    Harnham,130000.0,Associate Data Scientist. This is an exciting opportunity for anyone looking to utilize Data Analytics and Machine learning to inform decisions whilst being...
"San Francisco, CA 94105 (Financial District area)",Data Scientist (Python),        Workbridge Associates,170000.0,"This is an excellent opportunity for junior full-stack data scientists that want to own the entire modeling and data pipeline, and seek an opportunity with an..."
"Brisbane, CA",Data Scientist (Machine Learning),    Corporate Labs Technology,145000.0,Machine Learning Developer. Fast growing social media company is looking to add to their team. Sign on bonus....
"San Mateo, CA",Lead Data Scientist,    3coast,145000.0,Lead Data Scientist. Prior experience applying strong mathematics fundamentals in data analysis and modeling....
"San Ramon, CA",Sr Data Scientist,    PMES,150000.0,
"Berkeley, CA",Research Data Analyst 2,        University of California Berkeley,52000.0,"Assist in developing systems for organizing data to analyze, identify and report trends. Gather and analyze research data;..."
"San Mateo, CA",Machine Learning Algorithm Engineer,    3coast,150000.0,Prior experience applying strong mathematics fundamentals in data analysis and modeling. Machine Learning Algorithm Engineer....
"San Francisco, CA","1809 Education Policy Analyst - Research, Evaluation, Policy...",    San Francisco Unified School District - COE,102473.0,"Democratic responsibility, economic competence, and physical and mental health so that each student can achieve...."
"San Francisco, CA",Senior Research Engineer (Machine Learning),        Workbridge Associates,150000.0,Fraud detection and big data analytics software startup in San Mateo is hiring a Senior Research Engineer (Data Scientist) to join their growing top-notch...
"Brisbane, CA",Data Scientist (Natural Language Processing),    Corporate Labs Technology,145000.0,Fast growing social media company is looking to add to their team. Natural Language Processing....
"San Francisco, CA 94105 (Financial District area)",Senior Data Scientist (Python),        Workbridge Associates,170000.0,"This is an excellent opportunity for junior full-stack data scientists that want to own the entire modeling and data pipeline, and seek an opportunity with an..."
"San Francisco, CA 94105 (Financial District area)",Java Engineer for Machine Learning Company,        Workbridge Associates,180000.0,
"San Francisco, CA 94108 (Financial District area)",Machine Learning Data Scientist FinTech,"    Mordue, Allen, Roberts, Bonney, Ltd",145000.0,"Required Experience and Qualifications - Bachelor's or preferably an MS or PhD in computer science, data mining, machine learning, statistics, math, or other..."
"San Francisco, CA 94105 (Financial District area)",Teradata Analyst,    International Solution Sources LLC,50000.0,"Junior Data Analyst (Modelling, Insights & Data Science) International Solution Sources LLC is market leader in Data Analytics and Insights based solutions to..."
"San Francisco Bay Area, CA",Principal Machine Learning Scientist,    Tandem Recruiting Group,140000.0,"This team is building a coherent AI platform that integrates a diverse set of machine learning capabilities behind a common interface, and provides deep..."
"San Francisco, CA",Lead Data Scientist - Engagement & Growth,    Harnham,220000.0,
"Redwood City, CA","Senior Scientist III, Pre-Clinical Safety",    EPM Scientific,140000.0,To maintain and manage the ongoing progression of this toxicology lab while they work from the pre-clinical phase towards clinical phases while talking specific...
"San Francisco, CA",Lead Data Scientist (Life Sciences Opportunity),        Workbridge Associates,150000.0,"Experience in Mathematical modeling, Statistics and Machine Learning Techniques. A leading healthcare startup is looking to bring on a Senior Data Scientist to..."
"Berkeley, CA",Marketing and Recruitment Specialist Job - Fung Inst.,        University of California Berkeley,67850.0,"The Coleman Fung Institute for Engineering Leadership, launched in January 2010, prepares engineers and scientists — from students to seasoned professionals —..."
"San Francisco Bay Area, CA",Senior DevOps Engineer,        LT,190000.0,Our data team consists of two data analysts and three data scientists. You will apply deep understanding of clustering techniques to SQL and NoSQL storage and...
"San Francisco, CA",Director of Data Science,    Harnham,230000.0,
"San Francisco, CA",Senior Safety Scientist,    Das Consulting,225000.0,"Prior industry experience in drug safety, clinical development or medical affairs is desirable MD candidates - clinical practice experience (at least 3 years..."
"San Francisco, CA",Analytics Manager (Machine Learning),"    Kennedy Unlimited Inc, Professional Staffing",135000.0,"Strong recent projects involving programming in SAS, R and Machine Learning algorithms. Fill Key job opening in Analytics Manager (Machine Learning)...."
"San Mateo, CA",Planning and Research Analyst (HSI-Grant Funded),        San Mateo County Community College District,97116.0,"Optional tax-deferred 403(b) and 457 retirement plans are also available. Uses software packages to retrieve, edit, and tabulate data from various databases and..."
"San Francisco Bay Area, CA",Algorithm Software Sequencing Scientist,    PLE,135000.0,"That's because you will not only be working with the best scientists in the country, you will also be doing the most exciting work, impacting and changing..."
"Palo Alto, CA",Data Scientist,    Keyo,160000.0,"We’re looking for talented junior and senior data scientists to join our diverse and fast-growing data team. As a data scientist, you’ll build and implement the..."
"Santa Clara, CA",Data Scientist,    ITStaff Technical Resources,102500.0,"Scientific programming experience (Matlab, R, Python, etc.). You must be driven to learn new concepts from chemistry, physics, algorithm development and..."
"Santa Clara, CA 95050","Principal Data Scientist, Sequencing",    Enterprise Select,150000.0,"If you are passionate about machine learning, big data, medical diagnostics and challenging scientific research problems, this is the opportunity of a lifetime!..."
"Pleasanton, CA 94588","Data Scientist II, Sequencing",    Enterprise Select,120000.0,"The successful candidate must be excited about learning new concepts from chemistry, physics, algorithm development and electrical engineering and applying them..."
"San Jose, CA 95113 (Downtown area)",Data Scientist,        Jobspring Partners,160000.0,They are working on a custom analytics platform that gathers your data with publicly available sources to learn all you can about best-fit physicians and...
"Campbell, CA",STAFF DATA SCIENTIST / DEEP LEARNING,    TERADEEP INC.,140000.0,
"San Jose, CA 95113 (Downtown area)",Data Scientist - Growth Team (Healthcare Startup),        Jobspring Partners,155000.0,"Proficient in programming (Python, R, etc.). Deep knowledge in hypothesis testing and statistical inference. You’re accustomed to a data-driven, experimentation..."
"Sunnyvale, CA 94085",Mid-Level Machine Learning Data Scientist,        Workbridge Associates,190000.0,Leading provider of mortgage software solutions has founded a new high-visibility Data Engineering & Machine Learning organization and is seeking Mid-Level Data...
"Sunnyvale, CA 94085",Mid-Level Data Scientist,        Workbridge Associates,100000.0,A world-renowned life insurance company is seeking to build out their Data Analytics team looking for multiple Mid-Level Data Scientists to join the team in...
"Santa Clara, CA",Senior Data Scientist - NLP & Linguistics,    Harnham,155000.0,Senior Data Scientist - NLP & Linguistics. Statistics or Data Visualization experience. YOUR ROLE AS SENIOR DATA SCIENTIST - NLP & LINGUISTICS:....
"San Jose, CA 95113 (Downtown area)",Data Scientist (Finance Company),        Workbridge Associates,190000.0,"Background in Python, R, Machine Learning, Hadoop, Spark and Bayesian modeling. The solution comes pre-loaded with a comprehensive library of banking-specific..."
"San Jose, CA",Senior AI Data Scientist,    3coast,175000.0,"Research industry trends in Big Data, Machine Learning Recommendation and Personalization, Deep Learning, and adopt the latest and greatest within our branch..."
"Santa Clara, CA",Principal Data Scientist,    ITStaff Technical Resources,125000.0,"We’re searching for an individual who’s passionate about machine learning, big data, medical diagnostics and scientific research challenges...."
"Redwood City, CA",Mid-Level NLP Data Scientist,        Workbridge Associates,175000.0,"You will be working on a small team of data scientist to build machine learning algorithms. The company received a recent round of funding, which they are using..."
"San Jose, CA 95113 (Downtown area)",Senior Data Scientist,        Workbridge Associates,180000.0,
"Campbell, CA",Machine Learning / Deep Learning Internship(s),    TERADEEP INC.,60000.0,
"San Jose, CA 95113 (Downtown area)",Data Engineer,        Jobspring Partners,147500.0,"A well-known established company is looking for a Data Scientist and is willing to pay up to $160,000. Competitive Salary DOE, 401k, Benefits, Equity, Paid..."
"San Jose, CA",SENIOR ARTICIAL INTELLIGENCE (AI)/ DATA SCIENTIST,"    TW STAFFING SOLUTIONS,INC",175000.0,"SENIOR DATA SCIENTIST ARTIFICIAL INTELLIGENCE (AI)*. Relocation available to San Jose, California for those with Ph.D.’s in computer science/engineering with..."
"San Jose, CA 95113 (Downtown area)",Machine Learning Infrastructure Engineer,        Jobspring Partners,150000.0,You will play a critical role in building the world's first mainstream solution to machine learning powered by an autonomous distributed system that infers...
"San Jose, CA 95113 (Downtown area)",Machine Learning Engineer/Scientist,        Jobspring Partners,162500.0,With compressive sensing algorithms and deep learning software they have enabled the safest and most reliable full system solution for autonomous vehicles....
"Santa Clara, CA",Bioinformatics Engineer,    ITStaff Technical Resources,120000.0,"Experience with scientific programming (Python, Matlab, R, etc.). Their sequencing platform is a true integrated circuit on standard semiconductor process..."
"Mountain View, CA",Senior Data Engineer / Senior Data Scientist,    Harnham,160000.0,Statistics or Data Visualization experience. Harnham are exclusively partnering with a leading enterprise social listening platform in their search for a Senior...
"San Jose, CA 95113 (Downtown area)",Mid-Level QA Engineer,        Workbridge Associates,100000.0,They will be working collaboratively with a team of multiple developers and data scientists. This Silicon Valley tech giant of financial services is molding the...
"Santa Clara, CA 95054",Data Entry/research analyst,    ESG Consulting Inc,35000.0,
"San Diego, CA",Corporate Engagement Research Analyst,        UC San Diego,56000.0,"Substantial experience developing and maintaining database systems using appropriate software applications in order to conduct data analytics, e.g, perform..."
"San Diego, CA",Lead Statistician (first in-house hire),        Real Staffing,150000.0,Real Staffing is looking for a Clinical Biostatistician to be the first Biostatistics hire for a biotech company in San Diego....
"San Diego, CA 92122","Staff Product Manager, Compliance Testing - Consumer Electro...",        TriStaff Group,145000.0,
"Los Angeles, CA 90036",Data Scientist (Consumer Loans),    Lendmart,55000.0,"Undertaking knowledge discovery and data mining in large transactional datasets. Performing data extraction, transformation and loading from multiple data..."
"Los Angeles, CA",Quantitative Analyst,    Montgomery Assets,97000.0,"Develop analytics libraries used for Montgomery's equity and fixed income risk-management. Must have a Master’s degree in Statistics, Mathematics, Engineering ..."
"Los Angeles, CA",Jr. Data Scientist,    FullDeck,50000.0,"Data Scientist for our client, a fast-growing tech company with high profile entertainment clients! Experience with relational databases, such as MySQL, Oracle,..."
"Beverly Hills, CA",Investigations & Research Analyst,        Gavin de Becker & Associates,42500.0,"Review, identify, and analyze trends and inconsistencies in reporting and research findings. Conduct internet research, as needed, to acquire more information..."
"Torrance, CA","Market Research Analyst, Automotive Electronics",    Parallel Partners,67500.0,"Track industry trends, relevant legislation, and competitor activities as it relates to consumer electronics and safety...."
"Northridge, CA 91324",Computational Scientist,        Arete Associates,84500.0,"Areté has multiple position openings for entry-level to mid-level research scientists and scientific computing specialists at our office in Arlington, Virginia..."
"Los Angeles, CA",SUPERVISING CLINICAL LABORATORY SCIENTIST II,        Los Angeles County Department of Human Resources,92328.0,Assists a supervising laboratory scientist in the operation of a clinical laboratory unit by resolving technical problems and developing recommendations on new...
"Los Angeles, CA",Senior iOS Developer,        LT,170000.0,"There is currently three Data Scientists. Data Science is using R, Hadoop, Spark, Python and more. _Your benefits are all top of the line including 100%..."
"Los Angeles, CA","Sr. Data Scientist Needed for Top LA Start-Up, Huge Opportun...",    ConSol Partners,160000.0,"Leading content discovery platform seeking Senior Data Scientist to join evolving, entrepreneurial Big Data team with their rapidly growing organization...."
"Los Angeles, CA",Senior DevOps Engineer,        LT,190000.0,"Our data team consists of three data analysts and three data scientists. Finally you will apply your deep knowledge of monitoring tools, and NOC operations to..."
"Washington, DC",Data Scientist (Math background),        Jobspring Partners,200000.0,"The data scientist will develop and implement new methods. Generous base salary and bonuses, Full health benefits, generous 401k match plan, flexible Friday..."
"Washington, DC",Data Scientist,        Central Intelligence Agency,91066.0,"Data Scientists organize and interpret Big Data to inform US decision makers, drive successful operations and shape CIA technology and resource investments...."
"Washington, DC",Data Scientist,        Workbridge Associates,125000.0,A leading provider of data and technology for companies that support and promote free enterprise is looking to bring on a Data Scientist with management...
"Washington, DC",Data Scientist,"    Gunther Douglas, Inc.",100000.0,
"Alexandria, VA",Research Development Engineer/Scientist,    TULK llc,160000.0,Greater than 15 years of relevant work experience with Bachelor's Degree and Master's Degree (may 7 years of additional relevant work experience for Bachelor's...
"Arlington, VA",Statistical Analyst,    MbSolutions Inc,80000.0,The Contractor shall develop data collection processes/procedures and formats for information for utilization by the Government....
