location,title,company,salary,summary
"New York, NY 10001 (Chelsea area)",People Analytics & Research Data Scientist,        BlackRock,NA,"We are looking for a data scientist with advanced skills in mathematics, technology and data mining to help build algorithms that leverage large quantities of..."
"New York, NY",Data Analyst; Applecart Political,        Applecart,NA,"As a Data Analyst on our Political Client Services team, you will be responsible for working with a team of the country’s top political strategists and data..."
"New York, NY",Data Analyst; Applecart Advocacy,        Applecart,NA,"As a Data Analyst on our Advocacy team, you will be responsible for working with a team of strategists and data scientists to deliver custom analytics products,..."
"New York, NY 10011 (Chelsea area)","Data and Machine Learning Technical Trainer, Google Cloud Pl...",        Google,NA,"Experience with data processing technologies (e.g., Hadoop, Spark, Kafka, etc.), SQL, NoSQL database technologies for both transaction processing and data..."
"New York, NY 10011 (Chelsea area)","Research Scientist, Google Brain (United States)",        Google,NA,"From creating experiments and prototyping implementations to designing new learning algorithms, Research Scientists work on challenges in machine perception,..."
"New York, NY",Data Scientist,        2U,NA,"Data exploration to identify drivers & trends within our business. Under the guidance of the Director of Data Science, the Data Scientist will lead advanced..."
"New York, NY",Data Scientist - Network Infrastructure,        Bloomberg,NA,Knowledge of data science and machine learning methodologies. You’ll play a key role on the Network Infrastructure team and you will also be part of larger Data...
"New York, NY",Sr. Data Scientist,    Hudson Data,NA,Hudson Data is a data science solutions firm specializing in big data and analytics. Through the application of machine learning techniques and highly advanced...
"New Hyde Park, NY","Data Scientist, Workforce Intelligence",        Northwell Health,NA,"Ensure data integrity. Applies data modeling protocols, predictive data analysis methodologies and statistical processes to identify current state and develop..."
"Manhattan, NY 10018 (Clinton area)",Data Scientist,        Mitchell Martin,NA,"Multivariate data analysis, supervised and unsupervised machine learning algorithms, Deep Learning, MLlib, pandas, NumPy, Scikitlearn, Anaconda, H20.ai,..."
"New York, NY 10022 (Midtown area)",Senior Data Scientist - Banking Analytics,        McKinsey & Company,NA,"This is an entrepreneurial team which today comprises elite data scientists, developers, and domain experts conducting big data analytics for financial clients..."
"New York, NY","Senior Scientist, Machine Learning and Virtual Screening",    Schrodinger,NA,"Senior Scientist, Machine Learning and Virtual Screening. Experience using modern machine learning methods including Random Forest, Support Vector Machines, and..."
"New York, NY",Machine Learning Engineer,    AdTheorent,NA,"The job will involve improving operational efficiency within data science team, building automation pipelines for some existing processes, building Redshift..."
"New York, NY 10022 (Midtown area)",Data Scientist,        Design Strategy,NA,"Multivariate data analysis, supervised and unsupervised machine learning algorithms, Deep Learning, MLlib, pandas, NumPy, Scikitlearn, Anaconda, H20.ai,..."
"New York, NY 10017 (Midtown area)","Clinical Data Scientist (Associate, entry level with DM expe...",        Pfizer Inc.,NA,"Support Clinical Data Scientists for one or more clinical trials in activities related to ensuring high quality, on-time data management deliverables...."
"New York, NY","Data Scientist, Statistician",        Spreemo,NA,"As a Data Scientist and Statistician at Spreemo, you will work with a growing multidisciplinary team of talented Data Scientists, Statisticians, Healthcare..."
"New York, NY 10282 (Tribeca area)",Technology - GSAM Technology - Search and Machine Learning E...,        Goldman Sachs,NA,"You are focused on developing scalable solutions that solve a particular problem, but are generalized to the right level such that the same solution can be..."
"New York, NY 10010 (Gramercy area)",Data Scientist,        Experis,NA,
"New York, NY",Quantitative Scientist,        Flatiron Health,NA,Transform real-world clinical data into actionable insights using robust statistical methods and compelling data visualizations in formats accessible to a wide...
"New York, NY",Marketing Analytics Data Scientist – NYC Tech Dev Center,        T. Rowe Price,NA,We’re looking for Data Scientists to join our new Technology Development Center in Manhattan. A thorough understanding of applied statistics including sampling...
"New York, NY","Sr. Data Scientist, Analytics",        Memorial Sloan Kettering,NA,"Using complex real-world structured, text, and image data Memorial Sloan Kettering (MSK) has collected over the past 20+ years, the Research Data Scientist will..."
"New York, NY 10016 (Gramercy area)",Principal Data Scientist,        Aetna,NA,10 or more years of Data Analysis experience related to health care data that is progressively complex. Aetna's Consumer Health Services team is focused on...
"New York, NY",Senior Data Scientist,        ektello,NA,Expertise in data visualization (especially Tableau). Adept at working with real-world data and extracting meaningful insights from it....
"New York, NY 10031 (Hamilton Heights area)",Computer Science (Data Analysis) Instructor,"    Urban Scholars Program, City College of New York",$40 an hour,"Data, data filtering, basic spreadsheet operations and functions. Introduce data analysis using Excel, with focus on reading data, manipulating...."
"New York, NY",Senior Analyst - Marketing Analytics,        Casper,NA,Working experience applying statistics and machine learning research and techniques to real-world data. Solid understanding of open source data mining / data...
"New York, NY","Software Engineer, Machine Learning",        Facebook,NA,"Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models...."
"New York, NY",Data Scientist,    Feedzai,NA,"Founded and developed by data scientists and aerospace engineers, Feedzai has one critical mission:. The world’s largest banks, payment providers and retailers..."
"Jersey City, NJ",Data Scientist(USC and GC),    InfoSmart Systems Inc,NA,Job Title : Data Scientist Location : New jersey Duration: 6+ Months Job Type:...
"New York, NY 10282 (Tribeca area)",Data Scientist,        Goldman Sachs,NA,"You will leverage methods from diverse disciplines like machine learning, statistical modelling, information theory, information retrieval and other areas to..."
"New York, NY 10003 (Greenwich Village area)",Sr. Data Scientist - Test & Learn Analytics,"        J.Crew Group, Inc.",NA,Senior Data Scientist – Test and Learn Analytics. J.Crew is seeking a Senior Data Scientist with an emphasis on Test and Learn Analytics to join our team of...
"New York, NY 10032 (Washington Heights area)",Data Scientist,        Morgan Stanley,NA,Morgan Stanley Research technology is looking for a data scientist to help with designing and implementing complex machine learning models and solving business...
"New York, NY",Data Scientist,    CompIQ,NA,We're looking for a highly analytical data scientist who's creative and willing to explore just how far data can really take us and set into motion the...
"New York, NY 10016 (Gramercy area)",Junior Data Scientist,        pymetrics,NA,"Machine learning, predictive modeling, statistical inference, experimental design, data mining, and optimization...."
"New York, NY",Data Scientist,    Lorven Technologies,NA,"R, Python (including scientific libraries SciPy, Scikit, Pandas, and NumPy preferred), Scala, and SQL languages for interactions with relational databases...."
"New York, NY 10003 (Greenwich Village area)",Sr. Data Scientist - Mixed Media Modeling,"        J.Crew Group, Inc.",NA,Senior Data Scientist – Mixed Media Modeling. Handle missing data through an algorithmic approach such as multiple imputations to enable insights in sparse and...
"New York, NY",Data Scientist,        Amazon Corporate LLC,NA,"To be successful in this role, seeks an experienced and motivated Data Scientist/Business Intelligence Engineer/Business Analyst with outstanding leadership..."
"New York, NY",Data Scientist,    WorldCover,"$70,000 - $110,000 a year","Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our..."
"New York, NY",Data Scientist,    AdTheorent,NA,"Familiarity with relational databases and SQL, data transformation (ETL), data mining, ad-hoc analysis. Symmetry Labs produces a machine learning and predictive..."
"New York, NY",Data Engineer,        Weight Watchers International,NA,Work closely with our data scientists to help build complex algorithms that provide unique insights into our data....
"New York, NY",Data Engineer,        Dailymotion,NA,Work closely with data scientists to construct creative solutions for their analysis tasks Qualifications. We offer great health / dental / vision insurance....
"New York, NY","Data Scientist, Analytics",        Facebook,NA,The Data Scientist Analytics role has work across the following four areas:. We’re looking for Data Scientists to work on our core and business products...
"New York, NY 10010 (Gramercy area)",Senior Data Scientist,        AppNexus,NA,Senior Data Scientist / Machine Learning EngineerData Scientists are the creative thought leaders responsible for leveraging data to create automated systems...
"New York, NY",Analytics - Ads Team,        Foursquare,NA,"Strategic analytics, marketing analytics, digital analytics, data analytics, statistics, data science, big data, normalization schemes, modeling, quant research..."
"New York, NY",Start Up Hiring Quant Data Scientist,    Eka Finance,NA,Exciting start up hiring a quant data scientist with extensive experience applying a range of machine learning models to a diverse set of data ....
"New York, NY",Senior Data Scientist,    AdTheorent,NA,"Familiarity with relational databases and SQL, data transformation (ETL), data mining, ad-hoc analysis. Data scientist building predictive models:...."
"New York, NY",Senior Data Scientist,    Dstillery,NA,"Expertise in statistical modeling, machine learning, and optimization, and fluency in the related technical tools (Python or R preferred)...."
"New York, NY 10029 (Yorkville area)",BIOSTATISTICIAN I,        Mount Sinai Health System,NA,"And laboratories, our scientists continue to shape the future of clinical care. Clinical studies and analyzing data from large claims databases...."
"New York, NY",Data Science Summer Intern,    Lazard Ltd.,NA,Job Description The Summer Data Science Intern at Lazard will work within the Corporate Strategy team. The primary responsibility is to...
"New York, NY",Data Scientist,    Digital Reasoning,NA,"Masters in Computer Science, Applied Math, Statistics, or a scientific field with a strong background in natural language processing, text mining...."
"New York, NY",Data Scientist at FXcompared,    Brooklyn Data Science,NA,
"New York, NY","Data Scientist, Forecast Analyst",        NBCUniversal,NA,Experience with data visualization techniques and concepts. The Management Sciences and Integration team provides corporate analytics and data science services...
"New York, NY","Senior Associate, Data Scientist",        Capital One,NA,"Senior Associate, Data Scientist. Integrating with external data sources and APIs to discover interesting trends...."
"New York, NY",Data Scientist,    Scienaptic Systems Inc,"$100,000 a year","As our representative in front of client, you will have the opportunity to construct and deliver high end analytics solutions delivered from a cutting edge big..."
"New York, NY 10065 (Upper East Side area)",Bioinformatics Data Scientist - Cancer Genomics,        Memorial Sloan Kettering Cancer Center,NA,"He or She will be involved in the experimental design of each project, analysis of high-throughput cancer genomics (DNA, RNA, methylation/ epigenetic data), co..."
"New York, NY","Data Scientist, Team Lead - Predictive Analytics",        Grubhub,NA,"Using sound scientific guiding principles in analysis, model training, testing and validation of the data models to create precise, high performing and reliable..."
"New York, NY 10003 (Greenwich Village area)",Data Scientist,    Integral Ad Science,NA,Propose and develop solutions independently and leading a group of other data scientists; Integral Ad Science is seeking Data Scientist to work on challenging...
"New York, NY 10011 (Chelsea area)",Accenture Analytics - Data Science Manager,        Accenture,NA,"Bachelor’s Degree in a relevant field like statistics, computer science or applied math, physics or relevant subjects or 4+ years of experience in computer..."
"New York, NY",Data Engineer,    Aetion,NA,You will work closely with our scientists to understand client data sets and validate data integrity. You will parse large volumes of patient data into formats...
"New York, NY 10022 (Midtown area)","Quantitative Risk Analyst, Two Harbors",    Two Harbors Investment Corp.,NA,"Knowledge of statistical software, e.g., SAS, R, etc. Understanding of the residential mortgage market and related pricing techniques...."
"New York, NY",Data Scientist,        Blue State Digital,NA,"Deep familiarity with the core concepts, advantages, and tradeoffs of relational and nonrelational data systems...."
"New York, NY",Data Scientist,    Harmony Institute,NA,"Contribute to the team’s knowledge by keeping up with the state-of-the-art in machine learning, deep learning, data acquisition, manipulation and analysis..."
"New York, NY 10003 (Greenwich Village area)",Data Scientist - Nielsen Marketing Cloud,    Nielsen,NA,"Minimum of 3+ years relevant analytics and data mining & modeling work experience, with a particular stress on supervised learning...."
"New York, NY 10003 (Greenwich Village area)",Data Scientist,    Knewton,NA,"We are seeking a Data Scientist to join the Data Science team. Knewton provides students with tailored recommendations for exactly what to study, teachers with..."
"New York, NY 10032 (Washington Heights area)",Machine Learning Engineer - NY,        Morgan Stanley,NA,We are looking for someone to join our team of machine learning engineers and data scientists and help us leverage machine learning to solve financial...
"New York, NY 10016 (Gramercy area)",Data Scientist,        Gilt Groupe,NA,Data scientists use the tools of statistics and machine learning to solve hard problems around the business....
"New York, NY 10170 (Murray Hill area)",Associate,        Exponent,NA,"In Electrical Engineering, Computer Engineering, Engineering Physics or Applied Physics. Our multidisciplinary team of scientists, engineers, physicians, and..."
"New York, NY 10119 (Chelsea area)",Data Scientist (Contract to Hire),    IQ Workforce,NA,The Data Scientist will be a core function to ensure the effective implementation of their Big Data Analytics Strategy....
"New York, NY 10119 (Chelsea area)",Data Scientist (Contract),    IQ Workforce,NA,They are building out the data science and analytics capabilities of their newly created Chief Data Office....
"New York, NY 10017 (Midtown area)",Data Scientist,"        Pfizer, Inc.",NA,"The Predictive Informatics (PI) team within BI generates scientific and business insights by reusing genomic, clinical and real world data (electronic medical..."
"New York, NY",Legal- Firmwide Initiatives Team OLO Data Scientist- VP,        JPMorgan Chase,NA,Experience developing and applying machine learning methodology for solving complex applied problems. We are looking for a data scientist to join our new...
"New York, NY 10011 (Chelsea area)",Data Scientist - Advertising Product and Platforms,        Spotify,NA,"As Data Scientist, our mission is to turn terabytes of data into insights and get a deep understanding of how our people use our apps to impact the product,..."
"New York, NY 10038 (Financial District area)",Data Scientist,    Enterprise Select,"$130,000 a year","Deep knowledge of applied statistics and machine learning. Collaborate with the business to identify problems, perform advanced analytics, and develop machine..."
"New York, NY",Sr. Data Analyst,        NYU School of Medicine,NA,"The NYU School of Medicine Department of Population Health, in partnership with the NYU Lutheran Family Health Centers, is building a Brooklyn-based Urban..."
"New York, NY",Data Scientist,        Dia&Co,NA,
"New York, NY",Data Scientist,        Trov,NA,"Build and manage new data tables to support data collection, cross-channel data integration, dashboards, data visualization, data mining, and predictive..."
"New York, NY 10003 (Greenwich Village area)","Data Scientist, Analytics",        Global Strategy Group,NA,"Working alongside a highly accomplished team in a fast-paced environment, Data Scientists handle multiple projects at any given time for different internal..."
"New York, NY 10279 (Financial District area)",Data Scientist,        FactSet Research Systems,NA,"More than 62,000 users stay ahead of global market trends, access extensive company and industry intelligence, and monitor performance with FactSet’s desktop..."
"New York, NY",Enterprise Data Governance Analyst,    NYU Langone Health System,NA,"Familiarity with clinical information, including diagnostic coding and clinical databases. To qualify you must have a Bachelors degree in Nursing, Information..."
"New York, NY",Senior Research Analyst,        Research Foundation of The City University of New...,"$70,000 - $80,000 a year","Overseeing all project activities related to data collection, data analysis, and reporting; Working collaboratively with the Center Director, Chief of..."
"New York, NY","SENIOR ASSOCIATE, Data Scientist (New York, New York)",        New York Life Insurance Co,NA,"(1) Demonstrated expertise utilizing SAS and R to conduct data analytics, including predictive analytics and data mining;..."
"New York, NY 10261 (Murray Hill area)",Data Visualization Engineer,        MassMutual Financial Group,NA,"Additionally, the candidate should be able to handle building, open source, visualization libraries, written in R, Python, and JavaScript as well as construct..."
"New York, NY",Data Scientist,        PlaceIQ,NA,"A mixture of analytical approaches are employed including raw data mining, data visualization, application of rules and heuristics and supervised / unsupervised..."
"New York, NY",Institute Postdoctoral Fellow (Omics & Big Data),        Icahn School of Medicine at Mount Sinai,NA,"The candidate will work within an integrated, multidisciplinary team of experimental and computational scientists at the Institute for Genomics and Multiscale..."
"New York, NY 10022 (Midtown area)","Analyst - Healthcare Analytics & Delivery, McKinsey New Vent...",        McKinsey & Company,NA,The Healthcare Analytics & Delivery team uses healthcare data (payer / provider / 3rd party data) and analytics to answer some of the most pressing questions...
"Manhattan, NY",Data Analyst/Modeler,        DEPARTMENT OF FINANCE,"$70,286 - $80,829 a year","Strong programming, data analysis, statistical sampling or data mining experience. For Assignment Level I (only physical, biological and environmental sciences..."
"New York, NY",Data Scientist,        Cloudera,NA,Building open source tools that improve the experience of data scientists building models on huge amounts of data?...
"New York, NY","Instagram - Software Engineer, Machine Learning",        Facebook,NA,"Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models...."
"New York, NY",Ultimate Hoops Statistician,        Life Time Fitness,NA,Experience tracking statistical data for basketball games. Track all relevant statistics during games. Work closely with League Coordinator to ensure member...
"New York, NY",Statistician,        United Nations,NA,"Organizes, designs, plans and carries out the development of appropriate methods and standards for obtaining and delivering relevant geospatial data on behalf..."
"New York, NY",Business Intelligence Engineer – Advertiser Intelligence,        Amazon Corporate LLC,NA,"Experience with machine learning models, data engineering, and/or data science. You should be an expert with very big data, SQL, NoSQL, and modern BI tools for..."
"New York, NY 10003 (Greenwich Village area)",Senior Data Scientist,        Verizon,NA,"Bachelor’s/ Master’s Degree in Statistics, Math, Economics, Engineering, Computer Science, Business Analytics, Data Science or a related field...."
"New York, NY",Research Data Associate,        NYU School of Medicine,NA,"RAs will assist with data cleaning and data management. It also includes NYU School of Medicine, which since 1841 has trained thousands of physicians and..."
"New York, NY 10007 (Financial District area)",Quantitative Analyst,        Moody's Investors Service,NA,"MS or PhD degree in Applied Mathematics, Financial Engineering, Econometrics, Statistics, Finance, Physics, or Business preferred...."
"New York, NY",Data Scientist,    Tapad,NA,"2 - 5 years of experience in applied Machine Learning techniques, advanced analytics and statistical modeling...."
"New York, NY",Data Scientist,    Rockstar New York,NA,"Extensive knowledge of machine learning techniques such as k-NN, Naive Bayes, SVM, Decision Forests, Data Mining, Clustering, and Classification...."
"New York, NY",Data Scientist,    Countr,NA,Data is your mojo...gets a thrill diving deep into data and solving complex data problems on a daily basis....
"New York, NY",Data Scientist,        GameChanger,NA,"Proficiency in R, the Python data ecosystem (pandas, numpy, etc.), or equivalent. Write SQL to transform our raw product metrics into useful data models...."
"New York, NY 10018 (Clinton area)",Data Scientist,"    AbilTo, Inc",NA,
"New York, NY",Senior-Inventive Scientist (Labs- Big Data Research),        AT&T,NA,"Data Scientists will usually have a Master’s; We are a pioneer in big data technologies – developing novel methodologies for statistical computing, event..."
"New York, NY",Director Data Science,    AdTheorent,NA,Collaborate across multiple departments to identify and manage high leverage opportunities for data science work and act as a subject matter expert in business...
"New York, NY 10032 (Washington Heights area)",Quantitative and Derivative Strategies Data Scientist,        Morgan Stanley,NA,"The QDS (Quantitative and Derivative Strategies) team is looking for a data scientist to help collect, manage, analyze, and predict price and positioning data...."
"New York, NY",Senior Data Scientist,    Loadsmart,NA,We are looking for a Senior Data Scientist to join us in obsessing about machine learning algorithms to solve logistic issues....
"New York, NY 10007 (Financial District area)",Data Scientist,        Conde Nast,NA,"Exceptional quantitative analytics/applied statistics skills, including regression, clustering, machine learning, and other techniques appropriate for large..."
"New York, NY",Senior Data Scientist,        Spreemo,NA,"As a Senior Data Scientist at Spreemo, you will work with a growing multidisciplinary team of talented Data Scientists, Statisticians, Healthcare Economists..."
"New York, NY 10022 (Midtown area)",Data Science Translator - TMT Sector,        McKinsey & Company,NA,"Leading your team of data scientists, you will work through clients’ entire data ecosystems to understand what’s available, what’s missing - and where to find..."
"New York, NY",Statistical/ Database Marketing Analyst,        FULLBEAUTY Brands,NA,"Ability to pull data using SAS, SQL, and other technologies from the analytics database and other sources. This role is an integral part of the analytics team..."
"New York, NY",Junior Data Scientist,        Oliver James Associates,"$110,000 - $111,000 a year",
"New York, NY",Data Scientist,        Oliver James Associates,NA,
"New York, NY",Data Scientist,        OUTFRONT media,NA,"The position reports to the SVP – Data Insights and Programmatic Product. Experience with statistical software (SAS, SPSS, R or other similar)...."
"New York, NY 10018 (Clinton area)",Data Scientist,    Princeton Consulting,"$100,000 - $200,000 a year","Experience with Scala, AWS, R, docker, web-scraping. Proficent with Python Or SQL. Ability to visualize and communicate data science concepts to other team..."
"New York, NY 10014 (West Village area)",ETL - Data Scientist - Hadoop Developer,        SAP,NA,"ETL - Data Scientist - Hadoop Developer, Commerce Insights. As ETL - Data Scientist - Hadoop Developer you’ll be primarily responsible for developing batch and..."
"New York, NY",Sr. Data Scientist,        NBCUniversal,NA,"Be part of a team of Data Scientists that focus on the design and execution of advanced analytical data exploration, mining, inference, models and systems..."
"New York, NY",Sr Data Scientist,    PMES,"$155,000 a year",
"New York, NY",Data Scientist (People Analytics/HR),    Averity,"$180,000 - $250,000 a year","If you are a Data Scientist with a particular interest in applying data analytics to the field of HR and People's Analytics, this is a unique opportunity...."
"New York, NY",Data Scientist for Data- Driven HealthTech Company,    Averity,"$125,000 - $150,000 a year","Ultimately, we are searching for an intelligent, passionate, creative data scientist looking to use data science and advanced analytics to provide valuable..."
"New York, NY",Agency Lending Quantitative Analyst,        Citi,NA,Source relevant data and deliver scalable models that use financial modelling to support data driven decision making for trading....
"New York, NY",Summer Intern - pRED Informatics,        Roche,NA,You will work with a multidisciplinary team of data scientists and oncologists while gaining exposure to how drug discovery and development work....
"New York, NY",Research Scientist,"    Grammarly, Inc.",NA,"Interest in data science. Join us for a chance to work with an awesome team of linguists, software engineers, and world-class scientific advisors on the..."
"New York, NY","L'Oreal USA, Data Activation & DMP Lead",        L'Oreal USA,NA,This highly strategic role in the group is responsible for implementing the anonymous data strategy to ensure the right customer data (known and anonymous) is...
"New York, NY","Senior Data Scientist, Ad-Tech",        Dailymotion,NA,"Become a strong member of a global team of Data Scientists with Ad-Tech experience. As Senior Data Scientist, Ad-Tech you will:...."
"New York, NY 10018 (Clinton area)",Data Platform Engineer,        Quartet,NA,"We are a team of engineers, data scientists, and clinicians, finding solutions for a broken healthcare system...."
"New York, NY","Senior Software Engineer, Machine Learning",        Flatiron Health,NA,
"Jersey City, NJ",Lead Data Scientist,        Verisk Analytics,NA,"Lead Data Scientist – Insurance Analytics. Follows, and may create, detailed project plans to ensure projects are completed on time and within budget...."
"New York, NY 10154 (Midtown area)",Cognitive Data Scientist Natural Language Processing,        KPMG,NA,"Define, develop and prototype cognitive solutions for KPMG's business needs, such as Natural Language Processing (NLP), Linguistics, Advanced Semantic Design,..."
"New York, NY 10003 (Greenwich Village area)",Research Analyst,    Nielsen,NA,Project management skills– ability to work with colleagues and senior management to develop analysis plans that meet the objective of answering questions...
"New York, NY","Senior Business Analyst, Underwriting Analytics",        AIG,NA,"Collaborate with colleagues in a variety of roles across AIG, from senior business stakeholders to IT professionals and data scientists...."
"New York, NY 10003 (Greenwich Village area)","Director, Data Science",    Integral Ad Science,NA,Propose and develop solutions independently and leading a group of other data scientists. The types of challenges we solve have attracted people from industry...
"New York, NY 10018 (Clinton area)","Java Developer and Machine learning, Contract",    Harris Allied,NA,"Applying Machine Learning (ML) techniques to solve problems. Join an insanely talented team with a major global technology company, based in Manhattan, as they..."
"New York, NY 10011 (Chelsea area)",Data Scientist (Product),        Spotify,NA,"Data Scientist (Product). As Data Scientist, our mission is to turn terabytes of data into insights and get a deep understanding of how our people use our apps..."
"New York, NY 10112 (Midtown area)",Data Scientist II,        Comcast,NA,"Builds analytical models using statistical, machine learning and data mining methodologies. Knowledge of machine learning, data mining and natural language..."
"New York, NY",Research Analyst,    The Empire State Realty Trust,NA,"Interviewreal estate professionals to obtain information and data on assets andownership. ESRT), a leading real estate investment trust (REIT), owns,manages,..."
"New York, NY",Business Intelligence Analyst - TED Mobile + Platforms,        TED,NA,You love nerding out with the Data Scientists and are able to make business sense of big data. You will be working alongside a small cross-disciplinary team of...
"New York, NY",Machine Learning Engineer,        Darwin Recruitment,"$120,000 - $140,000 a year","Apply machine learning, NLP and deep learning methods to ever growing data sets. Machine Learning Engineer - Machine Learning - NLP - Java - Python - Spark -..."
"New York, NY 10003 (Greenwich Village area)",Sr. Data Scientist,    Nielsen,NA,
"New York, NY",Data Scientist,        Société Générale,NA,"5+ years of experience using machine learning, performing data mining and statistical modeling. Work with business and technology teams to design and supervise..."
"New York, NY 10013 (Tribeca area)",Senior Data Scientist,        Arena,NA,Guide junior data scientists in identification and implementation of appropriate data science techniques for the problem at hand....
"New York, NY","Principal, Data Science, Audience Studio",        NBCUniversal,NA,"Serve as a senior data scientist for audience studio data products. As a member of the Sales Research and Analytics Technology (SRAT) Product Engineering Team,..."
"Jersey City, NJ 07306 (Journal Square area)",Senior Developer - Data Scientist,        BNY Mellon,NA,"BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards..."
"New York, NY 10014 (West Village area)",Data Scientist,        Squarespace,NA,"We are seeking multiple Data Scientists who demonstrate sharp intellectual curiosity, data fluency, and a collaborative work ethic...."
"New York, NY 10003 (Greenwich Village area)","Data Engineer, Data Science",    Integral Ad Science,NA,Be a key partner to data scientists on solving technical challenges. The types of challenges we solve have attracted people from industry and academia with...
"New York, NY","Data Scientist, Tech Lead - NLP",        Grubhub,NA,"Strong Text Mining and NLP track record and work experience using large unstructured datasets doing Topic Modelling, Sentiment Analysis , Entity Recognition,..."
"New York, NY 10002 (Lower East Side area)",Quantitative and data analyst,        MSCI Inc.,NA,"Good working knowledge of SQL/Python, exposure to optimization and machine learning techniques, as well as visualization tools are instrumental to be successful..."
"New York, NY",Director of Machine Learning & Real Time Bidding Systems,    The Shipyard,NA,"As a key role on the Data Science and Analytics team at The Shipyard, the Director of Machine Learning and Real Time Bidding Systems will be responsible for..."
